Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
99	14	0	2.475	-1.3951406	-1.02116447	-2.1091548	0.567838469	1.70730045	4.59772711	0	0	0	0	3
100	14	0	2.5	-0.983113461	-0.969376359	-2.1091548	0.567838469	1.52189019	4.59772711	0	0	0	0	3
101	14	0	2.525	0.316890459	-0.86400973	-2.1091548	0.567838469	1.46332916	4.59772711	0	0	0	0	3
102	14	0	2.55	0.71667524	-0.784662243	-2.1091548	0.71667524	1.31222408	4.59772711	0	0	0	0	3
103	14	0	2.575	0.540803502	-0.672810416	-2.1091548	0.71667524	1.12153211	4.59772711	0	0	0	0	3
104	14	0	2.6	-0.26943895	-0.589332054	-2.1091548	0.71667524	0.925747492	4.59772711	0	0	0	0	3
105	15	0	2.625	-0.496043924	-0.588826391	-2.1091548	0.71667524	0.774425935	4.59772711	0	0	0	0	3
106	15	0	2.65	-0.419813034	-0.525461059	-2.1091548	0.71667524	0.601895327	4.59772711	0	0	0	0	3
107	15	0	2.675	-0.310105222	-0.459778872	-2.1091548	0.71667524	0.667577513	4.59772711	0	0	0	0	3
108	15	0	2.7	-0.256491359	-0.3979107	-2.1091548	0.71667524	0.729445685	4.59772711	0	0	0	0	3
109	15	0	2.725	-0.246882764	-0.407135631	-2.1091548	0.71667524	0.729445685	4.59772711	0	0	0	0	3
